"Message",Low,"Starting .NET Native compilation"
"Message",Low,""
"Message",Low,""
"Message",Low,"Task ""Gatekeeper"""
"Message",Normal,"Launching 'C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-arm64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\ARM64\ilc\ilc.exe --gatekeeper @""C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 2.2.31116.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\in\ar_lidar_new.exe'. "
"Message",Low,"Checking assembly 'C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\in\Microsoft.MixedReality.WebRTC.dll'. "
"Message",Low,"Checking assembly 'C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\in\OpenCvSharp.dll'. "
"Message",Low,"Checking assembly 'C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\in\SharpDX.dll'. "
"Message",Normal,"'C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-arm64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\ARM64\ilc\ilc.exe --gatekeeper @""C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |        0 |      297 |      375 |      297 |      375 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       375 ms"
"Message",Normal,"System time per command: 375 ms"
"Message",Normal,"Total duration:          297 ms"
"Message",Normal,"Total lifetime:          375 ms"
"Message",Normal,"Requested DOP:           16"
"Message",Normal,"Duration DOP:            0.8"
"Message",Normal,"Lifetime DOP:            1.0"
"Message",Low,"Done executing task ""Gatekeeper""."
"Message",Low,"Done building target ""RunGatekeeper"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Done building target ""CreateToolchainGeneratedAssembly"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""PreMergeAssemblyClosure"""
"Message",Low,"Done executing task ""PreMergeAssemblyClosure""."
"Message",Low,"Done building target ""ConstructPreMergeAssemblyClosure"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""McgReferenceResolveFilePath"""
"Message",Low,"Done executing task ""McgReferenceResolveFilePath""."
"Message",Low,"Done building target ""PreResolveTransforms"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""ResolveToolchainRequiredAssemblyRoots"""
"Message",Low,"Done executing task ""ResolveToolchainRequiredAssemblyRoots""."
"Message",Low,"Task ""ILTransformAssemblyClosure"""
"Message",Low,"Done executing task ""ILTransformAssemblyClosure""."
"Message",Low,"Task ""ResolveToolchainRequiredAssemblyRoots"""
"Message",Low,"Done executing task ""ResolveToolchainRequiredAssemblyRoots""."
"Message",Low,"Task ""ReducedCopyAssemblyClosure"""
"Message",Low,"Done executing task ""ReducedCopyAssemblyClosure""."
"Message",Low,"Done building target ""ConstructILTransformAssemblyClosure"" in file ""Preparation""."
"Message",Low,"Done building project ""Preparation""."
"Message",Low,""
"Message",Low,""
"Message",High,"Processing application code"
"Message",Low,"Task ""RunILTransforms"""
"Message",Normal,"Running 'DumpNativeResources' transform, heap at 104 MB."
"Message",Normal,"Running 'Analysis' transform, heap at 120 MB."
"Message",Low,"Loading 79 modules..."
"Message",Normal,"Imported reflection directives from 10 files:"
"Message",Normal,"C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\in\Properties\Default.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Interop: Resources.System.Private.Interop.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.WinRTInterop.CoreLib: Resources.System.Private.WinRTInterop.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Runtime.WindowsRuntime.UI.Xaml: Resources.System.Runtime.WindowsRuntime.UI.Xaml.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.CoreLib: Resources.System.Private.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Uri: Resources.System.Private.Uri.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection.Core: System.Private.Reflection.Core.rd.xml"
"Message",Normal,"Embedded manifest in System.Linq.Expressions: System.Linq.Expressions.Resources.System.Linq.Expressions.rd.xml"
"Message",Normal,"Embedded manifest in System.Net.Primitives: Resources.System.Net.Primitives.rd.xml"
"Message",Normal,"SharpDX"
"Message",Normal,"Imported XAML Roots from 1 files:"
"Message",Normal,"C:\Users\yushe\Desktop\ECE461\ar_lidar_new\ar_lidar_new\obj\ARM64\Debug\ilc\in\ar_lidar_new.xr.xml"
"Message",Normal,"Running 'Mcg' transform, heap at 246 MB."
"Message",High,"Computing application closure and generating interop code"
"Message",High,"  Loading 79 modules..."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDataChannelSetUserData' for method 'System.Void Microsoft.MixedReality.WebRTC.Interop.DataChannelInterop.DataChannel_SetUserData(System.IntPtr, System.IntPtr)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDataChannelGetUserData' for method 'System.IntPtr Microsoft.MixedReality.WebRTC.Interop.DataChannelInterop.DataChannel_GetUserData(System.IntPtr)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDataChannelRegisterCallbacks' for method 'System.Void Microsoft.MixedReality.WebRTC.Interop.DataChannelInterop.DataChannel_RegisterCallbacks(System.IntPtr, Microsoft.MixedReality.WebRTC.Interop.DataChannelInterop.Callbacks)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDataChannelSendMessage' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DataChannelInterop.DataChannel_SendMessage(System.IntPtr, System.Byte[], System.UInt64)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDataChannelSendMessage' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DataChannelInterop.DataChannel_SendMessage(System.IntPtr, System.IntPtr, System.UInt64)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDeviceAudioTrackSourceCreate' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DeviceAudioTrackSourceInterop.DeviceAudioTrackSource_Create(Microsoft.MixedReality.WebRTC.Interop.DeviceAudioTrackSourceInterop.LocalAudioDeviceMarshalInitConfig, Microsoft.MixedReality.WebRTC.Interop.DeviceAudioTrackSourceHandle)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsEnumVideoCaptureDevicesAsync' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.EnumVideoCaptureDevicesAsync(Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.VideoCaptureDeviceEnumCallback, System.IntPtr, Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.VideoCaptureDeviceEnumCompletedCallback, System.IntPtr)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsEnumVideoProfilesAsync' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.EnumVideoProfilesAsync(System.String, Microsoft.MixedReality.WebRTC.VideoProfileKind, Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.VideoProfileEnumCallback, System.IntPtr, Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.VideoProfileEnumCompletedCallback, System.IntPtr)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsEnumVideoCaptureFormatsAsync' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.EnumVideoCaptureFormatsAsync(System.String, System.String, Microsoft.MixedReality.WebRTC.VideoProfileKind, Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.VideoCaptureFormatEnumCallback, System.IntPtr, Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.VideoCaptureFormatEnumCompletedCallback, System.IntPtr)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
"Warning",,0,0,"      MCG : warning MCG0007: Unresolved P/Invoke method 'mrwebrtc!mrsDeviceVideoTrackSourceCreate' for method 'System.UInt32 Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.DeviceVideoTrackSource_Create(Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceInterop.LocalVideoDeviceMarshalInitConfig, Microsoft.MixedReality.WebRTC.Interop.DeviceVideoTrackSourceHandle)'. Calling this method would throw exception at runtime. Please make sure the P/Invoke either points to a Windows API allowed in UWP applications, or a native DLL that is part of the package. If for some reason your P/Invoke does not satisfy those requirements, please use [DllImport(ExactSpelling=true) to indicate that you understand the implications of using non-UWP APIs."
